"Statistic Label","Month","Dwelling Status","Eircode Output","Stamp Duty Event","Type of Buyer","UNIT","VALUE"
"Volume of Sales","2010 April","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","234"
"Volume of Sales","2010 April","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","120"
"Volume of Sales","2010 April","New","All","Executions","Household Buyer - Non-Occupier","Number","56"
"Volume of Sales","2010 April","Existing","All","Filings","All Buyer Types","Number","955"
"Volume of Sales","2010 April","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","515"
"Volume of Sales","2010 April","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","311"
"Volume of Sales","2010 April","Existing","All","Filings","Household Buyer - Non-Occupier","Number","129"
"Volume of Sales","2010 April","Existing","All","Executions","All Buyer Types","Number","996"
"Volume of Sales","2010 April","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","526"
"Volume of Sales","2010 April","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","347"
"Volume of Sales","2010 April","Existing","All","Executions","Household Buyer - Non-Occupier","Number","123"
"Volume of Sales","2010 May","All Dwelling Statuses","All","Filings","All Buyer Types","Number","1723"
"Volume of Sales","2010 May","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","985"
"Volume of Sales","2010 May","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","472"
"Volume of Sales","2010 May","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","266"
"Volume of Sales","2010 May","All Dwelling Statuses","All","Executions","All Buyer Types","Number","1463"
"Volume of Sales","2010 May","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","829"
"Volume of Sales","2010 May","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","432"
"Volume of Sales","2010 May","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","202"
"Volume of Sales","2010 May","New","All","Filings","All Buyer Types","Number","577"
"Volume of Sales","2010 May","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","345"
"Volume of Sales","2010 May","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","136"
"Volume of Sales","2010 May","New","All","Filings","Household Buyer - Non-Occupier","Number","96"
"Volume of Sales","2010 May","New","All","Executions","All Buyer Types","Number","410"
"Volume of Sales","2010 May","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","255"
"Volume of Sales","2010 May","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","99"
"Volume of Sales","2010 May","New","All","Executions","Household Buyer - Non-Occupier","Number","56"
"Volume of Sales","2010 May","Existing","All","Filings","All Buyer Types","Number","1146"
"Volume of Sales","2010 May","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","640"
"Volume of Sales","2010 May","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","336"
"Volume of Sales","2010 May","Existing","All","Filings","Household Buyer - Non-Occupier","Number","170"
"Volume of Sales","2010 May","Existing","All","Executions","All Buyer Types","Number","1053"
"Volume of Sales","2010 May","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","574"
"Volume of Sales","2010 May","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","333"
"Volume of Sales","2010 May","Existing","All","Executions","Household Buyer - Non-Occupier","Number","146"
"Volume of Sales","2010 June","All Dwelling Statuses","All","Filings","All Buyer Types","Number","1727"
"Volume of Sales","2010 June","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","956"
"Volume of Sales","2010 June","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","560"
"Volume of Sales","2010 June","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","211"
"Volume of Sales","2010 June","All Dwelling Statuses","All","Executions","All Buyer Types","Number","1603"
"Volume of Sales","2010 June","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","932"
"Volume of Sales","2010 June","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","495"
"Volume of Sales","2010 June","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","176"
"Volume of Sales","2010 June","New","All","Filings","All Buyer Types","Number","537"
"Volume of Sales","2010 June","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","314"
"Volume of Sales","2010 June","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","153"
"Volume of Sales","2010 June","New","All","Filings","Household Buyer - Non-Occupier","Number","70"
"Volume of Sales","2010 June","New","All","Executions","All Buyer Types","Number","414"
"Volume of Sales","2010 June","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","269"
"Volume of Sales","2010 June","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","107"
"Volume of Sales","2010 June","New","All","Executions","Household Buyer - Non-Occupier","Number","38"
"Volume of Sales","2010 June","Existing","All","Filings","All Buyer Types","Number","1190"
"Volume of Sales","2010 June","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","642"
"Volume of Sales","2010 June","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","407"
"Volume of Sales","2010 June","Existing","All","Filings","Household Buyer - Non-Occupier","Number","141"
"Volume of Sales","2010 June","Existing","All","Executions","All Buyer Types","Number","1189"
"Volume of Sales","2010 June","Existing","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","663"
"Volume of Sales","2010 June","Existing","All","Executions","Household Buyer - Former Owner-Occupier","Number","388"
"Volume of Sales","2010 June","Existing","All","Executions","Household Buyer - Non-Occupier","Number","138"
"Volume of Sales","2010 July","All Dwelling Statuses","All","Filings","All Buyer Types","Number","1888"
"Volume of Sales","2010 July","All Dwelling Statuses","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","1038"
"Volume of Sales","2010 July","All Dwelling Statuses","All","Filings","Household Buyer - Former Owner-Occupier","Number","604"
"Volume of Sales","2010 July","All Dwelling Statuses","All","Filings","Household Buyer - Non-Occupier","Number","246"
"Volume of Sales","2010 July","All Dwelling Statuses","All","Executions","All Buyer Types","Number","1895"
"Volume of Sales","2010 July","All Dwelling Statuses","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","1035"
"Volume of Sales","2010 July","All Dwelling Statuses","All","Executions","Household Buyer - Former Owner-Occupier","Number","642"
"Volume of Sales","2010 July","All Dwelling Statuses","All","Executions","Household Buyer - Non-Occupier","Number","218"
"Volume of Sales","2010 July","New","All","Filings","All Buyer Types","Number","526"
"Volume of Sales","2010 July","New","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","325"
"Volume of Sales","2010 July","New","All","Filings","Household Buyer - Former Owner-Occupier","Number","137"
"Volume of Sales","2010 July","New","All","Filings","Household Buyer - Non-Occupier","Number","64"
"Volume of Sales","2010 July","New","All","Executions","All Buyer Types","Number","471"
"Volume of Sales","2010 July","New","All","Executions","Household Buyer - First-Time Buyer Owner-Occupier","Number","287"
"Volume of Sales","2010 July","New","All","Executions","Household Buyer - Former Owner-Occupier","Number","135"
"Volume of Sales","2010 July","New","All","Executions","Household Buyer - Non-Occupier","Number","49"
"Volume of Sales","2010 July","Existing","All","Filings","All Buyer Types","Number","1362"
"Volume of Sales","2010 July","Existing","All","Filings","Household Buyer - First-Time Buyer Owner-Occupier","Number","713"
"Volume of Sales","2010 July","Existing","All","Filings","Household Buyer - Former Owner-Occupier","Number","467"
"Volume of Sales","2010 July","Existing","All","Filings","Household Buyer - Non-Occupier","Number","182"
"Volume of Sales","2010 July","Existing","All","Executions","All Buyer Types","Number","1424"
